-2.414213562	-1
-2.414213562	0
-2.414213562	1
-1.707106781	-1.707106781
-1.707106781	-0.7071067812
-1.707106781	0.7071067812
-1.707106781	1.707106781
-1	-2.414213562
-1	0
-1	2.414213562
-0.7071067812	-1.707106781
-0.7071067812	-0.7071067812
-0.7071067812	0.7071067812
-0.7071067812	1.707106781
0	-2.414213562
0	-1
0	0
0	1
0	2.414213562
0.7071067812	-1.707106781
0.7071067812	-0.7071067812
0.7071067812	0.7071067812
0.7071067812	1.707106781
1	-2.414213562
1	0
1	2.414213562
1.707106781	-1.707106781
1.707106781	-0.7071067812
1.707106781	0.7071067812
1.707106781	1.707106781
2.414213562	-1
2.414213562	0
2.414213562	1
